x0,y0,x1,y1,x2,y2,x3,y3
"(614.0, 751.0)","(440.5, 208.0)","(440.0, 207.0)"
"(617.5, 750.5)","(440.5, 209.5)","(440.5, 209.0)"
"(622.0, 749.0)","(441.0, 212.0)","(441.0, 211.0)"
"(626.0, 753.0)","(442.5, 215.0)","(442.5, 214.0)"
"(632.0, 754.5)","(443.5, 218.0)","(442.5, 217.5)"
"(635.0, 759.0)","(444.5, 220.5)","(444.0, 221.0)"
"(637.5, 760.0)","(444.0, 221.5)","(444.5, 221.5)"
"(639.5, 761.5)","(444.5, 226.0)","(445.0, 226.5)"
"(642.5, 763.5)","(448.0, 229.5)","(447.0, 230.5)"
"(644.0, 766.5)","(448.0, 230.5)","(449.0, 231.5)"
"(646.5, 769.5)","(449.0, 231.5)","(449.0, 232.0)"
"(646.0, 778.5)","(449.0, 232.5)","(448.5, 233.0)"
"(649.0, 785.5)","(450.0, 234.0)","(449.5, 234.0)"
"(655.0, 791.5)","(450.5, 236.5)","(450.5, 236.0)"
"(657.5, 800.0)","(452.0, 239.0)","(452.0, 239.5)"
"(663.0, 813.0)","(453.5, 242.5)","(452.5, 243.0)"
"(666.0, 822.5)","(454.0, 247.0)","(454.0, 247.0)"
"(665.5, 821.0)","(454.5, 252.5)","(455.0, 252.0)"
"(668.5, 826.0)","(457.5, 257.0)","(457.5, 257.0)"
"(668.0, 827.0)","(460.5, 260.5)","(459.0, 261.5)"
"(674.0, 821.0)","(461.5, 266.5)","(460.5, 265.0)"
"(676.5, 826.5)","(463.0, 270.0)","(463.0, 270.0)"
"(676.5, 827.5)","(465.5, 273.5)","(466.5, 274.0)"
"(683.0, 828.0)","(468.5, 276.0)","(468.5, 276.5)"
"(686.0, 829.0)","(471.0, 279.0)","(471.0, 279.5)"
"(688.5, 840.0)","(474.5, 282.5)","(474.5, 283.0)"
"(692.0, 862.5)","(478.5, 286.5)","(478.0, 287.0)"
"(695.0, 844.0)","(481.0, 290.0)","(481.5, 290.0)"
"(694.5, 875.0)","(484.5, 294.0)","(484.0, 294.5)"
