x,y,X1,Y1,X2,Y2,,
641.5,92.5,380.5,31.5,617,418,,
641,90.5,381,33,615.5,417.5,,
642,88,379,36,614,416.5,,
642,86.5,376.5,39.5,613.5,416,,
641.5,85,374.5,38.5,612.5,414.5,,
641,83.5,371.5,41.5,611,413.5,,
640.5,83.5,368,43,609.5,412,,
640.5,81.5,365,43.5,608.5,409.5,,
640.5,81,364.5,44.5,608.5,408,,
642,79.5,362.5,44,606,407.5,,
641.5,78,361.5,44.5,604.5,402.5,,
641.5,78,361.5,44.5,602,400.5,,
642,77.5,361.5,43,600.5,398,,
641.5,77,361,43,597.5,395,,
642,76.5,360.5,42.5,596.5,392.5,,
640.5,75.5,359.5,43.5,595,389.5,,
638,74.5,359,43.5,594.5,387.5,,
638,73.5,358.5,42,594,386,,
634.5,72.5,357.5,41,593.5,387.5,,
633,72.5,357,39,591.5,384.5,,
632.5,73.5,356.5,38.5,590.5,381.5,,
630.5,73,356.5,38,589.5,377.5,,
629,73,355.5,39,590.5,375.5,,
628.5,74,354.5,38,589,374,,
627,74.5,353.5,37,589.5,373.5,,
628.5,76.5,353,37.5,589.5,373.5,,
627.5,78,352.5,37,589,372.5,,
627,78.5,351,36.5,588,372,,
627.5,80.5,351,38,588.5,371.5,,
627,82,350.5,36.5,587,370.5,,
624,83.5,350,37.5,586.5,370,,
620.5,84,349,38,585.5,367,,
618,83.5,349,37,585.5,367,,
617,84.5,348.5,38,585.5,365.5,,
628,255,,,,,,
623.5,255.5,,,,,,
619,254.5,,,,,,
613.5,253.5,,,,,,
611,252.5,,,,,,
606,249,,,,,,
602.5,248,,,,,,
599,247.5,,,,,,
595.5,245,,,,,,
592,244,,,,,,
589,243.5,,,,,,
586,243,,,,,,
583.5,242.5,,,,,,
580,243,,,,,,
578,243,,,,,,
576.5,242.5,,,,,,
575,241,,,,,,
571,240.5,,,,,,
568.5,240.5,,,,,,
566.5,240,,,,,,
562.5,239.5,,,,,,
560,238.5,,,,,,
557,239.5,,,,,,
554.5,239,,,,,,
551.5,240.5,,,,,,
550.5,241.5,,,,,,
550.5,243,,,,,,
548,244,,,,,,
548,244.5,,,,,,
548,246,,,,,,
546,246.5,,,,,,
546.5,248.5,,,,,,
547,250,,,,,,
547.5,251,,,,,,
548,253,,,,,,
548.5,254,,,,,,
548.5,256,,,,,,
548.5,257,,,,,,
548.5,256,,,,,,
546,257.5,,,,,,
545,258.5,,,,,,
546,261,,,,,,
544,262,,,,,,
543,262.5,,,,,,
541,263.5,,,,,,
540.5,264.5,,,,,,
540,265,,,,,,
539.5,265.5,,,,,,
538.5,267.5,,,,,,
539.5,268,,,,,,
540,269.5,,,,,,
540.5,270,,,,,,
541,271.5,,,,,,
540,274,,,,,,
539,276,,,,,,
538.5,278,,,,,,
538,279.5,,,,,,
538,280.5,,,,,,
535.5,283,,,,,,
535,285,,,,,,
533.5,286.5,,,,,,
531,288.5,,,,,,
529,291,,,,,,
527,291.5,,,,,,
525,293.5,,,,,,
522.5,294,,,,,,
521.5,296.5,,,,,,
518.5,297,,,,,,
517,299.5,,,,,,
515,300.5,,,,,,
515,303.5,,,,,,
512,304,,,,,,
511,305,,,,,,
509,307,,,,,,
506.5,307.5,,,,,,
503.5,308,,,,,,
500,309,,,,,,
496,309.5,,,,,,
492,311,,,,,,
488,312,,,,,,
484,311,,,,,,
481.5,312,,,,,,
477,312,,,,,,
475,312.5,,,,,,
472,313.5,,,,,,
468.5,314,,,,,,
465.5,315.5,,,,,,
462.5,317,,,,,,
460,317,,,,,,
458,318.5,,,,,,
456.5,320,,,,,,
454.5,321,,,,,,
451.5,322.5,,,,,,
450,324,,,,,,
448,325.5,,,,,,
446,327.5,,,,,,
444,328.5,,,,,,
442.5,330.5,,,,,,
441,331,,,,,,
440.5,332.5,,,,,,
439,333.5,,,,,,
437.5,334,,,,,,
436,335.5,,,,,,
434,337.5,,,,,,
432.5,338.5,,,,,,
430,338.5,,,,,,
429,341,,,,,,
427.5,342.5,,,,,,
426,344.5,,,,,,
424,347,,,,,,
422,349,,,,,,
421,350.5,,,,,,
417.5,353,,,,,,
415.5,357,,,,,,
414,360,,,,,,
413,362.5,,,,,,
411,364,,,,,,
410,368,,,,,,
409,371.5,,,,,,
409,373.5,,,,,,
409,376.5,,,,,,
409,378.5,,,,,,
409.5,381,,,,,,
409.5,384,,,,,,
411,385.5,,,,,,
412,387.5,,,,,,
412,389,,,,,,
414,391,,,,,,
414,392,,,,,,
415.5,392.5,,,,,,
416,394,,,,,,
417,395,,,,,,
417,395.5,,,,,,
417,397,,,,,,
418,398,,,,,,
418,399,,,,,,
418.5,399,,,,,,
419,399.5,,,,,,
419,400.5,,,,,,
418.5,400,,,,,,
418.5,400,,,,,,
419,400.5,,,,,,
419,401.5,,,,,,
418,400.5,,,,,,
419,401,,,,,,
418.5,401.5,,,,,,
417,401,,,,,,
